"","denominator"
"1",7
"2",4
"3",5
"4",3
"5",13
"6",0
"7",0
"8",2
"9",3
"10",11
"11",2
"12",3
"13",1
"14",1
"15",1
"16",0
"17",0
"18",4
"19",9
"20",5
"21",2
"22",0
"23",9
"24",0
"25",1
"26",2
"27",8
"28",4
"29",4
"30",2
"31",5
"32",7
"33",7
"34",2
"35",8
"36",6
"37",0
"38",0
"39",0
"40",1
"41",1
"42",0
"43",7
"44",3
"45",0
"46",0
"47",3
"48",4
"49",2
"50",0
"51",2
"52",0
"53",0
"54",0
"55",3
"56",2
"57",0
"58",5
"59",3
"60",0
"61",3
"62",3
"63",0
"64",0
"65",3
"66",2
"67",1
"68",4
"69",1
"70",3
"71",7
"72",5
"73",1
"74",4
"75",6
"76",5
"77",2
"78",3
"79",7
"80",7
"81",3
"82",4
"83",5
"84",4
"85",5
"86",1
"87",2
"88",3
"89",1
"90",2
"91",1
"92",2
"93",1
"94",3
"95",2
"96",7
"97",2
"98",5
"99",3
"100",0
"101",6
"102",1
"103",1
"104",4
"105",2
"106",4
"107",1
"108",3
"109",8
"110",5
"111",5
"112",0
"113",1
"114",4
"115",8
"116",2
"117",2
"118",5
"119",2
"120",6
"121",3
"122",1
"123",5
"124",0
"125",2
"126",5
"127",12
"128",5
"129",3
"130",3
"131",5
"132",0
"133",3
"134",1
"135",1
"136",0
"137",1
"138",2
"139",0
"140",1
"141",2
"142",1
"143",0
"144",1
"145",0
"146",8
"147",2
"148",0
"149",2
"150",4
"151",0
"152",0
"153",1
"154",4
"155",0
"156",0
"157",0
"158",5
"159",7
"160",1
"161",0
"162",1
"163",0
"164",0
"165",0
"166",4
"167",0
"168",11
"169",1
"170",2
"171",0
"172",0
"173",0
"174",1
"175",2
"176",5
"177",1
"178",5
"179",0
"180",0
"181",3
"182",3
"183",0
"184",8
"185",1
"186",1
"187",0
"188",7
"189",0
"190",0
"191",6
"192",0
"193",0
"194",0
"195",2
"196",2
"197",6
"198",0
"199",0
"200",0
"201",0
"202",1
"203",9
"204",2
"205",0
"206",6
"207",0
"208",0
"209",1
"210",0
"211",2
"212",1
"213",1
"214",0
"215",2
"216",2
"217",1
"218",0
"219",0
"220",0
"221",0
"222",2
"223",1
"224",0
"225",4
"226",0
"227",0
"228",4
"229",3
"230",1
"231",3
"232",1
"233",2
"234",1
"235",0
"236",2
"237",2
"238",4
"239",2
"240",2
"241",0
"242",2
"243",1
"244",0
"245",2
"246",3
"247",4
"248",4
"249",3
"250",5
"251",2
"252",0
"253",3
"254",2
"255",7
"256",3
"257",2
"258",1
"259",5
"260",5
"261",4
"262",5
"263",4
"264",2
"265",1
"266",0
"267",0
"268",0
"269",0
"270",0
"271",2
"272",0
"273",1
"274",4
"275",0
"276",1
"277",0
"278",4
"279",4
"280",1
"281",0
"282",4
"283",2
"284",3
"285",4
"286",1
"287",1
"288",0
"289",3
"290",7
"291",1
"292",3
"293",1
"294",1
"295",1
"296",4
"297",1
"298",0
"299",1
"300",1
"301",0
"302",0
"303",0
"304",0
"305",2
"306",1
"307",2
"308",3
"309",3
"310",1
"311",0
"312",0
"313",3
"314",0
"315",2
"316",2
"317",0
"318",0
"319",2
"320",1
"321",2
"322",2
"323",0
"324",0
"325",0
"326",0
"327",1
"328",0
"329",2
"330",0
"331",1
"332",7
"333",0
"334",0
"335",3
"336",4
"337",2
"338",1
"339",5
"340",3
"341",3
"342",9
"343",0
"344",2
"345",0
"346",2
"347",2
"348",10
"349",0
"350",5
"351",7
"352",1
"353",1
"354",1
"355",2
"356",5
"357",1
"358",1
"359",0
"360",0
"361",0
"362",2
"363",0
"364",1
"365",0
"366",0
"367",0
"368",1
"369",3
"370",1
"371",2
"372",0
"373",0
"374",0
"375",0
"376",0
"377",0
"378",2
"379",0
"380",2
"381",4
"382",1
"383",0
"384",0
"385",0
"386",0
"387",0
"388",0
"389",0
"390",2
"391",0
"392",1
"393",0
"394",3
"395",0
"396",0
"397",3
"398",0
"399",1
"400",1
